Year,Month,DOMESTIC,INTERNATIONAL,TOTAL
2002,10,68,73,69
2002,11,67,70,67
2002,12,73,75,73
2003,1,64,72,66
2003,2,68,69,68
2003,3,73,71,72
2003,4,72,67,71
2003,5,74,74,74
2003,6,79,81,79
2003,7,81,83,82
2003,8,79,83,80
2003,9,67,76,69
2003,10,72,76,73
2003,11,71,76,72
2003,12,73,79,74
2004,1,65,75,68
2004,2,69,72,69
2004,3,75,80,76
2004,4,76,78,77
2004,5,74,78,75
2004,6,81,84,81
2004,7,82,84,83
2004,8,79,82,80
2004,9,70,78,72
2004,10,74,77,75
2004,11,73,75,74
2004,12,73,77,74
2005,1,70,76,71
2005,2,72,72,72
2005,3,80,82,80
2005,4,77,77,77
2005,5,78,79,78
2005,6,82,84,83
2005,7,84,84,84
2005,8,80,82,81
2005,9,74,78,75
2005,10,76,76,76
2005,11,77,76,76
2005,12,76,77,76
2006,1,73,76,73
2006,2,76,72,75
2006,3,81,81,81
2006,4,81,80,81
2006,5,80,80,80
2006,6,85,85,85
2006,7,85,85,85
2006,8,81,82,81
2006,9,74,78,75
2006,10,78,77,77
2006,11,78,77,78
2006,12,77,78,77
2007,1,72,76,73
2007,2,76,73,75
2007,3,82,82,82
2007,4,81,79,81
2007,5,81,79,81
2007,6,86,84,86
2007,7,86,85,86
2007,8,85,83,84
2007,9,76,80,77
2007,10,79,79,79
2007,11,78,78,78
2007,12,76,78,76
2008,1,73,76,74
2008,2,76,73,75
2008,3,82,82,82
2008,4,80,77,79
2008,5,81,80,81
2008,6,84,83,84
2008,7,84,84,84
2008,8,83,83,83
2008,9,76,78,77
2008,10,80,78,79
2008,11,76,74,75
2008,12,79,77,78
2009,1,73,73,73
2009,2,75,69,73
2009,3,81,75,79
2009,4,82,77,81
2009,5,81,76,80
2009,6,85,82,84
2009,7,87,85,86
2009,8,85,85,85
2009,9,79,81,80
2009,10,82,82,82
2009,11,79,78,79
2009,12,80,81,80
2010,1,75,77,76
2010,2,77,74,76
2010,3,83,81,83
2010,4,83,79,82
2010,5,83,82,82
2010,6,86,86,86
2010,7,87,87,87
2010,8,85,86,85
2010,9,80,84,81
2010,10,83,83,83
2010,11,81,78,80
2010,12,81,80,81
2011,1,77,76,77
2011,2,78,71,76
2011,3,83,76,81
2011,4,82,78,81
2011,5,85,82,84
2011,6,86,85,86
2011,7,87,86,87
2011,8,86,86,86
2011,9,82,82,82
2011,10,84,80,83
2011,11,83,78,82
2011,12,81,80,81
2012,1,78,77,78
2012,2,79,72,77
2012,3,84,80,83
2012,4,84,80,83
2012,5,84,82,84
2012,6,87,87,87
2012,7,87,86,87
2012,8,87,86,87
2012,9,81,84,82
2012,10,84,82,83
2012,11,83,80,82
2012,12,82,81,81
2013,1,79,79,79
2013,2,81,76,79
2013,3,85,83,84
2013,4,83,79,82
2013,5,85,83,84
2013,6,87,87,87
2013,7,86,87,87
2013,8,86,87,86
2013,9,81,83,82
2013,10,83,81,82
2013,11,80,78,79
2013,12,85,83,84
2014,1,81,80,80
2014,2,82,75,80
2014,3,85,79,84
2014,4,85,80,83
2014,5,86,82,85
2014,6,87,84,86
2014,7,88,85,87
2014,8,87,86,87
2014,9,82,82,82
2014,10,84,80,83
2014,11,81,76,80
2014,12,83,81,83
2015,1,79,79,79
2015,2,82,75,80
2015,3,86,79,84
2015,4,85,77,82
2015,5,86,81,84
2015,6,87,84,86
2015,7,88,86,87
2015,8,87,86,86
2015,9,84,81,83
2015,10,86,82,85
2015,11,84,78,82
2015,12,84,80,83
2016,1,81,79,80
2016,2,81,74,79
2016,3,85,79,84
2016,4,84,77,82
2016,5,86,79,84
2016,6,88,84,87
2016,7,87,86,87
2016,8,85,84,85
2016,9,84,81,83
2016,10,85,80,84
2016,11,85,79,83
2016,12,83,81,83
2017,1,79,79,79
2017,2,81,74,79
2017,3,86,79,84
2017,4,85,81,84
2017,5,86,80,84
2017,6,87,85,86
2017,7,87,86,87
2017,8,85,86,86
2017,9,82,81,82
2017,10,86,79,84
2017,11,86,79,84
2017,12,84,81,83
2018,1,79,79,79
2018,2,82,76,80
2018,3,86,82,85
2018,4,84,80,83
2018,5,85,81,84
2018,6,88,87,87
2018,7,88,87,88
2018,8,86,86,86
2018,9,81,80,81
2018,10,85,80,83
2018,11,85,80,84
2018,12,83,82,82
2019,1,79,80,79
2019,2,82,77,80
2019,3,86,83,85
2019,4,86,82,85
2019,5,87,83,86
2019,6,89,88,89
2019,7,89,88,89
2019,8,86,88,87
2019,9,82,83,82
2019,10,85,82,84
2019,11,82,81,82
2019,12,86,85,85
2020,1,80,81,80
2020,2,81,76,80
2020,3,50,58,52
2020,4,13,23,14
2020,5,39,27,38
2020,6,56,35,54
2020,7,50,36,48
2020,8,49,37,47
2020,9,57,36,53
2020,10,60,39,57
2020,11,55,42,52
2020,12,56,47,54
2021,1,60,59,60
2021,2,59,35,54
2021,3,68,43,63
2021,4,75,47,69
2021,5,81,53,75
2021,6,86,63,81
2021,7,88,70,84
2021,8,81,69,79
2021,9,76,59,72
2021,10,81,61,77
2021,11,81,69,79
2021,12,82,71,80
